;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;TABELA 6.1 - EVOLUÇÃO MENSAL DE ESTOQUE, ADMISSÕES, DESLIGAMENTOS E SALDO POR GRUPAMENTO DE ATIVIDADES ECONÔMICAS - SÉRIE COM AJUSTES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Grupamento de Atividades Econômicas e Seção CNAE 2.0;Janeiro/2020;;;;Fevereiro/2020;;;;;Março/2020;;;;;Abril/2020;;;;;Maio/2020;;;;;Junho/2020;;;;;Julho/2020;;;;;Agosto/2020;;;;;Setembro/2020;;;;;Outubro/2020;;;;;Novembro/2020;;;;;Dezembro/2020;;;;;Janeiro/2021;;;;;Fevereiro/2021;;;;;Março/2021;;;;;Abril/2021;;;;;Maio/2021;;;;;Junho/2021;;;;;Julho/2021;;;;;Agosto/2021;;;;;Setembro/2021;;;;;Outubro/2021;;;;;Novembro/2021;;;;;Dezembro/2021;;;;;Janeiro/2022;;;;;Fevereiro/2022;;;;;Março/2022;;;;;Abril/2022;;;;;Maio/2022;;;;;Junho/2022;;;;;Julho/2022;;;;;Agosto/2022;;;;;Setembro/2022;;;;;Outubro/2022;;;;;Novembro/2022;;;;;Dezembro/2022;;;;;Janeiro/2023;;;;;Fevereiro/2023;;;;;Março/2023;;;;;Abril/2023;;;;;Maio/2023;;;;;Junho/2023;;;;;Julho/2023;;;;;Agosto/2023;;;;;Setembro/2023;;;;;Outubro/2023;;;;;Novembro/2023;;;;;Acumulado do Ano (2023);;;;Últimos 12 Meses** (Dez/22 a Nov/23) - com ajuste;;;;;;;;;;
;;Estoque;Admissões;Desligamentos;Saldos;Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);"Estoque****
(Estoque de referência de 2023)";Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Admissões;Desligamentos;Saldos;Variação Relativa (%);Admissões;Desligamentos;Saldos;Variação Relativa (%);;;;;;;
;Total;37.955.239;1.510.234;1.398.196;112.038;38.172.501;1.613.868;1.396.606;217.262;0,57;37.877.436;1.459.611;1.754.676;-295.065;-0,77;36.895.827;664.881;1.646.490;-981.609;-2,59;36.497.433;761.830;1.160.224;-398.394;-1,08;36.443.943;962.370;1.015.860;-53.490;-0,15;36.552.319;1.177.212;1.068.836;108.376;0,30;36.766.816;1.329.029;1.114.532;214.497;0,59;37.066.348;1.490.816;1.191.284;299.532;0,81;37.432.277;1.662.678;1.296.749;365.929;0,99;37.808.551;1.655.620;1.279.346;376.274;1,01;37.651.185;1.335.640;1.493.006;-157.366;-0,42;37.905.459;1.711.128;1.456.854;254.274;0,68;38.303.161;1.864.021;1.466.319;397.702;1,05;38.456.733;1.759.178;1.605.606;153.572;0,40;38.546.706;1.503.085;1.413.112;89.973;0,23;38.813.131;1.651.518;1.385.093;266.425;0,69;39.131.109;1.698.787;1.380.809;317.978;0,82;39.437.930;1.766.060;1.459.239;306.821;0,78;39.825.750;1.918.104;1.530.284;387.820;0,98;40.155.860;1.890.565;1.560.455;330.110;0,83;40.408.505;1.841.934;1.589.289;252.645;0,63;40.722.577;1.861.712;1.547.640;314.072;0,78;40.431.085;1.480.016;1.771.508;-291.492;-0,72;40.598.629;1.851.236;1.683.692;167.544;0,41;40.952.338;2.089.570;1.735.861;353.709;0,87;41.051.418;2.002.706;1.903.626;99.080;0,24;41.257.086;1.887.176;1.681.508;205.668;0,50;41.534.932;2.002.057;1.724.211;277.846;0,67;41.820.081;1.933.711;1.648.562;285.149;0,69;42.045.251;1.922.927;1.697.757;225.170;0,54;42.333.691;2.085.346;1.796.906;288.440;0,69;42.611.792;1.952.640;1.674.539;278.101;0,66;42.772.137;1.819.286;1.658.941;160.345;0,38;42.899.969;1.773.722;1.645.890;127.832;0,30;42.444.425;1.408.686;1.864.230;-455.544;-1,06;42.531.110;1.915.378;1.828.693;86.685;0,20;42.782.356;1.988.409;1.737.163;251.246;0,59;42.975.982;2.203.062;2.009.436;193.626;0,45;43.157.732;1.898.420;1.716.670;181.750;0,42;43.313.794;2.022.923;1.866.861;156.062;0,36;43.471.009;1.934.840;1.777.625;157.215;0,36;43.614.286;1.900.535;1.757.258;143.277;0,33;43.835.028;2.113.343;1.892.601;220.742;0,51;44.040.386;1.936.104;1.730.746;205.358;0,47;44.228.795;1.955.460;1.767.051;188.409;0,43;44.358.892;1.866.752;1.736.655;130.097;0,29;21.735.226;19.820.759;1.914.467;4,51;23.143.912;21.684.989;1.458.923;3,40;;;;;;;
;Agricultura, pecuária, produção florestal, pesca e aquicultura;1.455.578;80.143;63.468;16.675;1.457.674;79.983;77.887;2.096;0,14;1.450.255;76.559;83.978;-7.419;-0,51;1.441.851;57.215;65.619;-8.404;-0,58;1.456.821;75.508;60.538;14.970;1,04;1.494.579;90.079;52.321;37.758;2,59;1.515.860;79.421;58.140;21.281;1,42;1.523.447;71.922;64.335;7.587;0,50;1.528.746;75.372;70.073;5.299;0,35;1.524.389;72.470;76.827;-4.357;-0,29;1.504.737;64.336;83.988;-19.652;-1,29;1.475.659;52.533;81.611;-29.078;-1,93;1.512.103;103.888;67.444;36.444;2,47;1.537.006;102.684;77.781;24.903;1,65;1.540.360;103.210;99.856;3.354;0,22;1.550.614;97.699;87.445;10.254;0,67;1.588.799;118.131;79.946;38.185;2,46;1.628.113;117.070;77.756;39.314;2,47;1.653.817;104.579;78.875;25.704;1,58;1.664.411;94.252;83.658;10.594;0,64;1.675.448;100.335;89.298;11.037;0,66;1.669.204;90.021;96.265;-6.244;-0,37;1.649.755;78.015;97.464;-19.449;-1,17;1.621.767;65.288;93.276;-27.988;-1,70;1.647.362;110.227;84.632;25.595;1,58;1.665.285;107.860;89.937;17.923;1,09;1.646.453;101.378;120.210;-18.832;-1,13;1.646.340;98.445;98.558;-113;-0,01;1.674.615;124.234;95.959;28.275;1,72;1.710.688;126.126;90.053;36.073;2,15;1.726.923;106.046;89.811;16.235;0,95;1.734.958;105.609;97.574;8.035;0,47;1.744.670;101.959;92.247;9.712;0,56;1.742.843;92.664;94.491;-1.827;-0,10;1.723.904;81.340;100.279;-18.939;-1,09;1.685.584;64.618;102.938;-38.320;-2,22;1.709.824;113.880;89.640;24.240;1,44;1.726.138;106.155;89.841;16.314;0,95;1.724.639;119.051;120.550;-1.499;-0,09;1.725.802;105.164;104.001;1.163;0,07;1.745.340;129.643;110.105;19.538;1,13;1.772.853;127.078;99.565;27.513;1,58;1.786.017;105.165;92.001;13.164;0,74;1.791.111;105.784;100.690;5.094;0,29;1.797.036;98.437;92.512;5.925;0,33;1.795.357;95.093;96.772;-1.679;-0,09;1.774.340;81.983;103.000;-21.017;-1,17;1.187.433;1.098.677;88.756;5,27;1.252.051;1.201.615;50.436;2,93;;;;;;;
;Indústria geral;7.623.521;254.998;197.160;57.838;7.664.760;266.792;225.553;41.239;0,54;7.619.408;237.853;283.205;-45.352;-0,59;7.403.149;100.691;316.950;-216.259;-2,84;7.295.645;106.384;213.888;-107.504;-1,45;7.286.818;152.078;160.905;-8.827;-0,12;7.336.955;215.528;165.391;50.137;0,69;7.426.944;263.733;173.744;89.989;1,23;7.538.374;306.885;195.455;111.430;1,50;7.621.926;296.797;213.245;83.552;1,11;7.666.655;263.408;218.679;44.729;0,59;7.614.386;180.598;232.867;-52.269;-0,68;7.705.501;313.009;221.894;91.115;1,20;7.798.916;337.359;243.944;93.415;1,21;7.836.097;306.197;269.016;37.181;0,48;7.851.078;252.851;237.870;14.981;0,19;7.893.751;266.240;223.567;42.673;0,54;7.944.738;269.516;218.529;50.987;0,65;8.002.663;288.073;230.148;57.925;0,73;8.076.257;319.748;246.154;73.594;0,92;8.152.406;319.009;242.860;76.149;0,94;8.177.990;278.564;252.980;25.584;0,31;8.183.679;252.513;246.824;5.689;0,07;8.089.239;170.041;264.481;-94.440;-1,15;8.142.161;292.260;239.338;52.922;0,65;8.186.042;319.486;275.605;43.881;0,54;8.191.429;311.917;306.530;5.387;0,07;8.217.831;288.280;261.878;26.402;0,32;8.263.741;312.289;266.379;45.910;0,56;8.305.925;296.480;254.296;42.184;0,51;8.356.258;305.848;255.515;50.333;0,61;8.408.769;326.783;274.272;52.511;0,63;8.464.701;307.964;252.032;55.932;0,67;8.479.388;266.394;251.707;14.687;0,17;8.453.044;231.604;257.948;-26.344;-0,31;8.337.835;158.267;273.476;-115.209;-1,36;8.372.062;300.179;265.952;34.227;0,41;8.412.227;308.397;268.232;40.165;0,48;8.433.281;338.016;316.962;21.054;0,25;8.452.413;294.499;275.367;19.132;0,23;8.460.957;308.042;299.498;8.544;0,10;8.473.087;290.607;278.477;12.130;0,14;8.494.612;292.989;271.464;21.525;0,25;8.525.762;329.043;297.893;31.150;0,37;8.568.351;303.395;260.806;42.589;0,50;8.589.123;287.222;266.450;20.772;0,24;8.576.212;250.561;263.472;-12.911;-0,15;3.302.950;3.064.573;238.377;2,86;3.461.217;3.338.049;123.168;1,46;;;;;;;
;Indústrias Extrativas;218.516;3.499;3.401;98;219.773;4.676;3.419;1.257;0,58;219.585;3.823;4.011;-188;-0,09;218.198;2.086;3.473;-1.387;-0,63;217.658;2.636;3.176;-540;-0,25;218.217;3.608;3.049;559;0,26;219.099;4.212;3.330;882;0,40;219.989;4.518;3.628;890;0,41;220.881;4.753;3.861;892;0,41;222.111;4.845;3.615;1.230;0,56;223.203;4.536;3.444;1.092;0,49;222.529;3.428;4.102;-674;-0,30;224.058;5.013;3.484;1.529;0,69;226.428;5.801;3.431;2.370;1,06;227.867;5.697;4.258;1.439;0,64;230.211;5.906;3.562;2.344;1,03;232.718;6.316;3.809;2.507;1,09;235.100;6.096;3.714;2.382;1,02;237.574;6.598;4.124;2.474;1,05;239.300;6.129;4.403;1.726;0,73;240.771;6.059;4.588;1.471;0,61;241.813;5.397;4.355;1.042;0,43;242.198;4.737;4.352;385;0,16;241.034;3.672;4.836;-1.164;-0,48;241.536;4.565;4.063;502;0,21;243.418;6.210;4.328;1.882;0,78;244.243;5.569;4.744;825;0,34;245.761;5.828;4.310;1.518;0,62;247.280;6.152;4.633;1.519;0,62;248.634;5.736;4.382;1.354;0,55;250.202;6.015;4.447;1.568;0,63;251.467;6.292;5.027;1.265;0,51;252.524;5.919;4.862;1.057;0,42;253.226;5.845;5.143;702;0,28;253.969;5.679;4.936;743;0,29;253.623;4.213;4.559;-346;-0,14;254.000;5.180;4.803;377;0,15;255.338;5.819;4.481;1.338;0,53;256.904;6.784;5.218;1.566;0,61;259.384;6.984;4.504;2.480;0,97;262.004;7.612;4.992;2.620;1,01;263.843;7.192;5.353;1.839;0,70;265.064;6.343;5.122;1.221;0,46;266.120;6.577;5.521;1.056;0,40;266.876;6.141;5.385;756;0,28;267.976;5.759;4.659;1.100;0,41;268.260;4.995;4.711;284;0,11;69.386;54.749;14.637;5,77;73.599;59.308;14.291;5,63;;;;;;;
;Indústrias de Transformação;6.932.307;243.046;185.558;57.488;6.970.223;251.512;213.596;37.916;0,55;6.924.498;225.017;270.742;-45.725;-0,66;6.712.705;94.178;305.971;-211.793;-3,06;6.608.063;98.752;203.394;-104.642;-1,56;6.600.376;143.215;150.902;-7.687;-0,12;6.649.903;204.637;155.110;49.527;0,75;6.737.332;251.150;163.721;87.429;1,31;6.846.302;293.368;184.398;108.970;1,62;6.925.891;281.952;202.363;79.589;1,16;6.968.574;249.931;207.248;42.683;0,62;6.919.396;170.204;219.382;-49.178;-0,71;7.007.259;297.841;209.978;87.863;1,27;7.095.048;319.951;232.162;87.789;1,25;7.129.781;289.248;254.515;34.733;0,49;7.142.319;236.531;223.993;12.538;0,18;7.180.005;248.371;210.685;37.686;0,53;7.225.697;251.861;206.169;45.692;0,64;7.278.908;270.649;217.438;53.211;0,74;7.348.924;302.281;232.265;70.016;0,96;7.421.899;301.722;228.747;72.975;0,99;7.444.794;261.414;238.519;22.895;0,31;7.448.540;236.241;232.495;3.746;0,05;7.358.084;156.491;246.947;-90.456;-1,21;7.408.287;276.199;225.996;50.203;0,68;7.446.505;298.994;260.776;38.218;0,52;7.449.195;292.837;290.147;2.690;0,04;7.471.604;269.898;247.489;22.409;0,30;7.512.988;292.457;251.073;41.384;0,55;7.551.269;277.315;239.034;38.281;0,51;7.597.467;287.281;241.083;46.198;0,61;7.646.468;307.388;258.387;49.001;0,64;7.699.824;290.818;237.462;53.356;0,70;7.713.328;249.544;236.040;13.504;0,18;7.686.214;215.415;242.529;-27.114;-0,35;7.572.140;144.570;258.644;-114.074;-1,48;7.606.165;283.487;249.462;34.025;0,45;7.643.226;289.408;252.347;37.061;0,49;7.661.268;317.496;299.454;18.042;0,24;7.675.865;274.692;260.095;14.597;0,19;7.681.574;287.920;282.211;5.709;0,07;7.691.264;271.585;261.895;9.690;0,13;7.709.746;273.705;255.223;18.482;0,24;7.737.899;308.263;280.110;28.153;0,37;7.779.458;285.939;244.380;41.559;0,54;7.797.535;269.407;251.330;18.077;0,23;7.783.400;234.514;248.649;-14.135;-0,18;3.096.416;2.885.156;211.260;2,79;3.240.986;3.143.800;97.186;1,26;;;;;;;
;Eletricidade e Gás;128.162;1.283;1.690;-407;128.419;1.638;1.381;257;0,20;128.434;1.368;1.353;15;0,01;128.489;723;668;55;0,04;128.528;803;764;39;0,03;128.238;888;1.178;-290;-0,23;128.272;1.099;1.065;34;0,03;128.341;1.185;1.116;69;0,05;128.496;1.402;1.247;155;0,12;128.972;1.614;1.138;476;0,37;129.278;1.619;1.313;306;0,24;128.949;1.198;1.527;-329;-0,25;129.445;1.727;1.231;496;0,38;129.826;1.867;1.486;381;0,29;129.485;1.644;1.985;-341;-0,26;129.919;1.964;1.530;434;0,34;130.139;1.702;1.482;220;0,17;130.878;2.111;1.372;739;0,57;131.263;1.826;1.441;385;0,29;131.625;2.025;1.663;362;0,28;131.840;2.137;1.922;215;0,16;131.914;1.883;1.809;74;0,06;131.682;1.717;1.949;-232;-0,18;131.089;1.230;1.823;-593;-0,45;131.193;1.502;1.398;104;0,08;131.126;1.686;1.753;-67;-0,05;131.321;1.662;1.467;195;0,15;131.146;1.629;1.804;-175;-0,13;131.002;1.545;1.689;-144;-0,11;131.178;1.720;1.544;176;0,13;131.653;1.703;1.228;475;0,36;131.954;1.726;1.425;301;0,23;132.255;1.675;1.374;301;0,23;132.034;1.249;1.470;-221;-0,17;132.248;1.453;1.239;214;0,16;131.199;1.068;2.117;-1.049;-0,79;131.114;1.395;1.480;-85;-0,06;131.323;1.783;1.574;209;0,16;131.404;1.732;1.651;81;0,06;131.461;1.966;1.909;57;0,04;131.664;1.805;1.602;203;0,15;131.894;1.870;1.640;230;0,17;132.475;1.990;1.409;581;0,44;132.997;2.022;1.500;522;0,39;133.345;1.829;1.481;348;0,26;133.542;1.707;1.510;197;0,15;133.967;1.759;1.334;425;0,32;19.858;17.090;2.768;2,11;20.926;19.207;1.719;1,30;;;;;;;
;Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;344.536;7.170;6.511;659;346.345;8.966;7.157;1.809;0,53;346.891;7.645;7.099;546;0,16;343.757;3.704;6.838;-3.134;-0,90;341.396;4.193;6.554;-2.361;-0,69;339.987;4.367;5.776;-1.409;-0,41;339.681;5.580;5.886;-306;-0,09;341.282;6.880;5.279;1.601;0,47;342.695;7.362;5.949;1.413;0,41;344.952;8.386;6.129;2.257;0,66;345.600;7.322;6.674;648;0,19;343.512;5.768;7.856;-2.088;-0,60;344.739;8.428;7.201;1.227;0,36;347.614;9.740;6.865;2.875;0,83;348.964;9.608;8.258;1.350;0,39;348.629;8.450;8.785;-335;-0,10;350.889;9.851;7.591;2.260;0,65;353.063;9.448;7.274;2.174;0,62;354.918;9.000;7.145;1.855;0,53;356.408;9.313;7.823;1.490;0,42;357.896;9.091;7.603;1.488;0,42;359.469;9.870;8.297;1.573;0,44;361.259;9.818;8.028;1.790;0,50;359.032;8.648;10.875;-2.227;-0,62;361.145;9.994;7.881;2.113;0,59;364.993;12.596;8.748;3.848;1,07;366.670;11.849;10.172;1.677;0,46;369.320;10.925;8.275;2.650;0,72;372.471;12.135;8.984;3.151;0,85;374.844;11.709;9.336;2.373;0,64;376.936;10.849;8.757;2.092;0,56;378.880;11.377;9.433;1.944;0,52;380.098;9.552;8.334;1.218;0,32;380.800;9.756;9.054;702;0,18;380.613;9.057;9.244;-187;-0,05;380.873;8.416;8.156;260;0,07;380.783;10.117;10.207;-90;-0,02;382.340;11.387;9.830;1.557;0,41;383.705;12.004;10.639;1.365;0,36;385.703;10.857;8.859;1.998;0,52;385.715;10.705;10.693;12;0,00;386.086;9.960;9.589;371;0,10;387.327;10.951;9.710;1.241;0,32;388.746;12.181;10.762;1.419;0,37;388.672;9.486;9.560;-74;-0,02;390.070;10.349;8.951;1.398;0,36;390.585;9.293;8.778;515;0,13;117.290;107.578;9.712;2,55;125.706;115.734;9.972;2,62;;;;;;;
